E-Code,Name,Description,Status,Status_Clean
E100,Curcumin/Turmeric,Color,"Powder or granular. Mushbooh if used as liquid, 
the solvents has to be Halal. Haraam if hidden 
ingredient is pork fat based emulsifier in dry mix.",HARAM
E101,Riboflavin (Vitamin B2),Color,"Mushbooh  (Haraam if from pork liver & Kidney, 
Halal if 100% plant material)",HARAM
E102,Tartrazine,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, 
the solvent has to be Halal",MUSHBOOH
E104,,,,MUSHBOOH
E110,Sunset Yellow FCF / Orange Yellow S,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, 
the solvent has to be Halal",MUSHBOOH
E120,Cochineal / Carminic Acid,Color,Haraam,HARAM
E122,Carmoisine / Azorubine,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E123,Amaranth,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E124,Ponceau 4R / Cochineal Red A,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E127,Erythrosine BS,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E131,Patent Blue V,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E132,Indigo Carmine / Idigotine,Color,"Halal if use as is as a 100% synthetic color  but if pork 
glycerin is added as a solvent then it is Haraam",HARAM
E140,Chlorophyll,Color,"Halal if use 100% powder or 
Halal if water or vegetable oil was used as a solvent",HALAL
E141,Copper Complex of Chlorophyll,Color,"Halal if use 100% powder or 
Halal if water or vegetable oil was used as a solvent",HALAL
E142,Green S / Acid Brilliant Green BS,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E150(a-d),Caramel Color/with chemicals,Color,Halal,HALAL
E151,Black PN / Brilliant Black BN,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E153,Carbon Black / Vegetable Carbon (Charcoal),Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E160a,"Alpha, Beta, Gamma",Color  Carotene,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E160b,"Annatto, Bixin, Norbixin",Color  Carotene,Halal,HALAL
E160c,Capsanthin / Capsorbin,Color- Carotene,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E160d,Lycopene,Color  Carotene,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E160e,Beta-apo-8-carotenal,Color  Carotene,"Halal if used as 100% dry powder or granular or 
Halal if vegetable oil is used as a solvent in liquid form 
as a hidden ingredient. Haraam if pork gelatin is used as 
hidden ingredient or carrier",HARAM
E160f,Ethyl ester of Beta-apo-8-cartonoic acid,Color  Carotene,"Halal if used as 100% dry powder or granular or 
Halal if vegetable oil is used as a solvent in liquid form 
as a hidden ingredient. Haraam if pork gelatin is used as 
hidden ingredient or carrier",HARAM
E161a,Flavoxanthin,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E161b,Lutein,Color,"Halal if used as 100% dry powder or granular. 
Haraam if pork gelatin or pork glycerin is added in dry or liquid form",HARAM
E161c,Cryptoxanthin,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E161d,Rubixanthin,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E161e,Violaxanthin,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E161f,Rhodoxanthin,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E161g,Canthaxanthin,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E162,Beetroot Red / Betanin,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E163,Anthocyanins,Color,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E170,Calcium Carbonate (Chalk),Color  Inorganic,"Halal if obtained from rock mineral and used as 100% dry 
powder or granular. Mushbooh if used as liquid, solvent has to be Halal",MUSHBOOH
E171,Titanium Dioxide,Color  Inorganic,Halal,HALAL
E172,Iron Oxides and Hydroxides,Color  Inorganic,Halal,HALAL
E173,Aluminium,Color  Inorganic,Halal,HALAL
E174,Silver,Color  Inorganic,Halal,HALAL
E175,Gold,Color  Inorganic,Halal,HALAL
E180,Pigment Rubine / Lithol Rubine BK,Color  Inorganic,"Halal if used as 100% dry color. 
Mushbooh if used as liquid color, the solvent has to be Halal",MUSHBOOH
E200,Sorbic Acid,Preservative,Halal,HALAL
E201,Soduim Sorbate,Preservative,Halal,HALAL
E202,Potassium Sorbate,Preservative,Halal,HALAL
E203,Calcium Sorbate,Preservative,Halal,HALAL
E210,Benzoic Acid,Preservative,Halal,HALAL
E211,Sodium Benzoate,Preservative,Halal,HALAL
E212,Potassium Benzoate,Preservative,Halal,HALAL
E213,Calcium Benzoate,Preservative,"Halal, if calcium obtained from mineral, 
Mushbooh if it is obtained from bones",MUSHBOOH
E214,Ethyl 4-hydroxybenzoate,Preservative,"Halal, if used as 100% dry powder or granular. 
Haraam if alcohol is used as a solvent",HARAM
E215,"Ethyl 4-hydroxybenzoate, Sodium Salt",Preservative,"Halal, if used as 100% dry powder or granular. 
Haraam if alcohol is used as a solvent",HARAM
E216,Propyl 4-hydroxybenzoate,Preservative,"Halal, if used as 100% dry powder or granular. 
Haraam if alcohol is used as a solvent",HARAM
E217,"Propyl 4-hydroxybenzoate, Sodium Salt",Preservative,"Halal, if used as 100% dry powder or granular. 
Haraam if alcohol is used as a solvent",HARAM
E218,Methyl 4-hydroxybenzoate,Preservative,"Halal, if used as 100% dry powder or granular. 
Haraam if alcohol is used as a solvent",HARAM
E219,"Methyl 4-hydroxybenzoate, Sodium Salt",Preservative,"Halal, if used as 100% dry powder or granular. 
Haraam if alcohol is used as a solvent",HARAM
E220,Sulphur Dioxide,Preservative,Halal,HALAL
E221,Sodium Sulphite,Preservative,Halal,HALAL
E222,Sodium Hydrogen Sulphite,Preservative,Halal,HALAL
E223,Sodium Metabisulphite,Preservative,Halal,HALAL
E224,Potassium Metabisulphite,Preservative,Halal,HALAL
